,weather_main,weather,wind
0,dry,Sunny with temperatures reaching up to 27 °C (81 °F),False
1,changing,"Dry start, with heavy rain and thunderstorm/",False
2,wet,Rain,False
3,dry,Sunny,False
4,dry,"Warm, Sunny",False
5,dry,Sunny,False
6,dry,Sunny,False
7,dry,"Dry, overcast",False
8,dry,Sunny and overcast,False
9,dry,Sunny,False
10,dry,Hot and dry with temperatures reaching up to 33 °C (91 °F),False
11,dry,Clear but Mild,False
12,dry,Mainly sunny,False
13,dry,Hot and Dry,False
14,dry,"Sunny, Dry",False
15,dry,Partially cloudy and dry,False
16,dry,Dry,False
17,dry,"Clear, dry, air temperature of 39 °C (102 °F).",False
18,dry,"Sunny, partly cloudy",False
19,dry,Dry,False
20,dry,Sunny,False
21,dry,Sunny with temperatures reaching up to 17 °C (63 °F),False
22,changing,"Wet, drying later.",False
23,dry,Hot with temperatures approaching 31 °C (88 °F); wind speeds up to 8.9 kilometres per hour (5.5 mph),False
24,changing,Dry at first; light rain in the final stages,False
25,changing,"Rain, later drying",False
26,dry,"Cloudy, later sunny",False
27,dry,"Sunny; Air 30–31 °C (86–88 °F), Track 40–43 °C (104–109 °F)",False
28,dry,Sunny,False
29,changing,"Cloudy, rain in last 3 laps",False
30,changing,"Heavy rain, dry towards the end",False
31,dry,"Dry, Air Temp: 28 °C (82 °F), Wind Speed: 2.2 metres per second (7.2 ft/s), Humidity: 79%",False
32,dry,Cloudy with temperatures reaching up to 17 °C (63 °F),False
33,dry,Dry,False
34,changing,"Rain at beginning and end, otherwise drying",False
35,dry,Clear with temperatures reaching up to 21 °C (70 °F),False
36,dry,Sunny,False
37,dry,"Sunny, dry, windy",True
38,dry,Sunny and warm,False
39,dry,"Cloudy, air temp 24–27 °C (75–81 °F), track temp 33–42 °C (91–108 °F)",False
40,dry,Warm with temperatures approaching 26 °C (79 °F); wind speeds up to 5.8 kilometres per hour (3.6 mph),False
41,dry,Warm (33C/91F) and clear,False
42,dry,Cloudy,False
43,dry,Dry and sunny,False
44,changing,Heavy Rain on Lap 1. Drying track at restart. Light Rain before the finish.,False
45,dry,"Sunny, temperatures reaching up to 27 °C (81 °F)",False
46,dry,Sunny,False
47,dry,Sunny,False
48,dry,"Partly cloudy, mild and dry",False
49,wet,Very heavy rain,False
50,wet,Intermittent light rain,False
51,dry,"37 °C (Air), 63 °C (Track)",False
52,dry,"Fine, Dry and Hot",False
53,dry,"Fine, Air Temp: 33°C, Wind Speed: 1.5 m/s, Humidity: 61%",False
54,dry,Cloudy with sunny breaks. Air temperature 20°C,False
55,dry,Sunny,False
56,nan,,False
57,dry,Sunny,False
58,dry,Fine,False
59,dry,Sunny,False
60,dry,Sunny and warm with temperatures reaching up to 28 °C (82 °F); wind speeds up to 4.1 kilometres per hour (2.5 mph),False
61,dry,"Sunny, hot",False
62,dry,"Sunny, warm",False
63,dry,"Sunny, warm",False
64,wet,Cool and rainy with temperatures reaching up to 20 °C (68 °F),False
65,dry,"Sunny, hot",False
66,dry,Warm and sunny with temperatures reaching up to 27 °C (81 °F),False
67,changing,"Cloudy, wet track that progressively dried up.",False
68,dry,Fine,False
69,dry,Temperatures reaching up to 23 °C (73 °F),False
70,dry,"Cool, partly cloudy",False
71,dry,"Fine, Air: 34–36°C (93–97°F) and Track: 44–50°C (111–122°F)",False
72,dry,"Sunny, 42 °C (108 °F)",False
73,dry,Warm and cloudy,False
74,dry,"Sunny, warm",False
75,dry,Fine,False
76,dry,"Partly cloudy, hot and dry",False
77,dry,Cloudy and hot with temperatures approaching 32.5 °C (90.5 °F),False
78,dry,"Cloudy, temperatures up to 25.0 °C (77.0 °F); wind speeds up to 17.9 km/h (11.1 mph)",False
79,dry,"Sunny, Air: 32 °C (90 °F), Track 53 °C (127 °F)",False
80,dry,"Sunny, Air: 27 °C (81 °F), Track 47 °C (117 °F)",False
81,changing,"Cloudy with drizzle, but staying dry during the race. Air temp: 24°C.",False
82,dry,"Sunny, Air: 34 °C (93 °F), Track 45 °C (113 °F)",False
83,dry,Sunny; 30°C Air; 45°C Track,False
84,dry,Sunny,False
85,changing,Wet and dry,False
86,dry,"Cloudy, dry, Air: 23 °C (73 °F), Track 22 °C (72 °F)",False
87,dry,Partially cloudy and dry with temperatures reaching up to 25 °C (77 °F),False
88,dry,Sunny,False
89,dry,Dry and cloudy,False
90,changing,"Dry, light rain at the start",False
91,dry,"Warm, dry and overcast",False
92,dry,"Clear, air temp: 22°C",False
93,dry,Clear,False
94,dry,Dry and sunny,False
95,dry,"Cloudy at start, sunny later",False
96,dry,Clear and mild with temperatures approaching 25.0 °C (77.0 °F),False
97,dry,Fine with temperatures reaching up to 24 °C (75 °F);,False
98,dry,Sunny,False
99,dry,"Cloudy, Air: 17 °C (63 °F), Track 27 °C (81 °F)",False
100,dry,Sunny,False
101,dry,"Warm, dry and sunny, Air: 26 °C (79 °F), Track 42 °C (108 °F)",False
102,dry,Dry with temperatures reaching up to 15 °C (59 °F),False
103,changing,"Wet track at the start, dry later on",False
104,dry,Sunny with temperatures reaching up to 27 °C (81 °F),False
105,dry,Sunny,False
106,changing,Dry/Wet,False
107,changing,"Damp at beginning, dry later, cloudy, mild",False
108,dry,"Fine, air temperature 34°C (93°F)",False
109,wet,Rainy: 20 °C (68 °F),False
110,dry,Mostly cloudy with maximum ambient temperatures reaching 13 degrees during the day.,False
111,dry,Clear,False
112,changing,Mostly cloudy with isolated showers in the area,False
113,dry,"Sunny at start, cloudy later",False
114,dry,Partly cloudy and mild with temperatures reaching a maximum of 19.3 °C (66.7 °F),False
115,dry,Mostly cloudy with maximum ambient temperatures reaching 25 degrees celsius during the day.,False
116,dry,"Cloudy, Air: 26 °C (79 °F), Track 35 °C (95 °F)",False
117,dry,"Sunny at start, cloudy later, Air: 24 °C (75 °F), Track 29 °C (84 °F)",False
118,dry,Fine,False
119,dry,"Warm, dry and sunny, 28 °C (82 °F)",False
120,dry,Sunny,False
121,wet,Scattered showers with temperatures up to 20.6 °C (69.1 °F);,False
122,dry,"Cloudy, Air: 22 °C (72 °F), Track 25 °C (77 °F)",False
123,dry,"Cloudy at start, clearing to sunny skies.",False
124,dry,"Partially cloudy, hot, and dry",False
125,dry,"Clear, Air Temp: 30°C",False
126,changing,"Scattered thunderstorms, but remaining dry. Air Temp: 18°C",False
127,dry,"Clear, Air Temp: 20°C",False
128,dry,"Clear, Air Temp: 20°C",False
129,dry,Fine; air temperature 22 °C (72 °F),False
130,dry,Mostly fine and humid with temperatures reaching a maximum of 24.1 °C (75.4 °F),False
131,dry,"Mainly Fine, Air Temp: 18°C",False
