,year,driverId,constructorId,raceId,resultId,grid,positionOrder,laps,time,milliseconds,rank,fastestLapTime,avLapTimeMill,status,status_short,weather_main,circuitId,AvTeamLapTimeMill,res_q,q1Mill,q2Mill,q3Mill,debut_raceId,is_debut,avPosTeam,overCir,overYear
0,2009,1,1,1,7573,18,20,58,\N,\N,13,1:29.020,97563.75862068965,Disqualified,rules,dry,1,97563.75862068965,15.0,86454.0,0.0,0.0,36,False,10.411764705882353,5.135687732342007,3.8588235294117648
1,2009,2,2,1,7563,9,10,58,+7.085,5662869,5,1:28.283,97635.6724137931,Finished,finished,dry,1,96398.18166144201,11.0,85827.0,85504.0,0.0,158,False,11.088235294117647,5.135687732342007,3.8588235294117648
2,2009,3,3,1,7559,5,6,58,+5.722,5661506,1,1:27.706,97612.1724137931,Finished,finished,dry,1,94717.20385395538,5.0,85846.0,85123.0,86973.0,53,False,10.970588235294118,5.135687732342007,3.8588235294117648
3,2009,4,4,1,7558,10,5,58,+4.879,5660663,9,1:28.712,97597.63793103448,Finished,finished,dry,1,99681.6106321839,12.0,86026.0,85605.0,0.0,141,False,12.411764705882353,5.135687732342007,3.8588235294117648
4,2009,5,1,1,7572,12,19,0,\N,\N,\N,\N,,Collision,collision,dry,1,97563.75862068965,14.0,86184.0,85726.0,0.0,36,False,10.411764705882353,5.135687732342007,3.8588235294117648
5,2009,6,3,1,7571,11,18,17,\N,\N,18,1:29.923,91822.23529411765,Accident,collision,dry,1,94717.20385395538,13.0,86074.0,85607.0,0.0,52,False,10.970588235294118,5.135687732342007,3.8588235294117648
6,2009,7,5,1,7561,17,8,58,+6.298,5662082,17,1:29.823,97622.10344827586,Finished,finished,dry,1,97619.56896551725,20.0,86964.0,0.0,0.0,18,False,14.911764705882353,5.135687732342007,3.8588235294117648
7,2009,8,6,1,7568,7,15,55,\N,\N,7,1:28.488,97078.2,Differential,technical,dry,1,97040.27777777778,9.0,85899.0,85380.0,87163.0,141,False,9.794117647058824,5.135687732342007,3.8588235294117648
8,2009,9,2,1,7567,4,14,55,\N,\N,2,1:27.988,95160.6909090909,Collision,collision,dry,1,96398.18166144201,4.0,85922.0,85152.0,86914.0,65,False,11.088235294117647,5.135687732342007,3.8588235294117648
9,2009,10,7,1,7557,19,4,58,+4.435,5660219,6,1:28.416,97589.9827586207,Finished,finished,dry,1,97565.5775862069,6.0,85499.0,85281.0,86975.0,97,False,9.558823529411764,5.135687732342007,3.8588235294117648
10,2009,12,4,1,7570,14,17,24,\N,\N,19,1:30.502,101765.58333333333,Spun off,collision,dry,1,99681.6106321839,17.0,86598.0,0.0,0.0,18,False,12.411764705882353,5.135687732342007,3.8588235294117648
11,2009,13,6,1,7569,6,16,45,\N,\N,15,1:29.141,97002.35555555555,Suspension,technical,dry,1,97040.27777777778,7.0,85844.0,85319.0,87033.0,124,False,9.794117647058824,5.135687732342007,3.8588235294117648
12,2009,15,7,1,7556,20,3,58,+1.604,5657388,10,1:28.916,97541.1724137931,Finished,finished,dry,1,97565.5775862069,8.0,86194.0,85265.0,87127.0,207,False,9.558823529411764,5.135687732342007,3.8588235294117648
13,2009,16,10,1,7562,16,9,58,+6.335,5662119,11,1:28.943,97622.74137931035,Finished,finished,dry,1,97631.69827586207,19.0,86742.0,0.0,0.0,36,False,13.941176470588236,5.135687732342007,3.8588235294117648
14,2009,17,9,1,7565,8,12,57,\N,\N,8,1:28.508,99231.52631578948,+1 Lap,+1 Lap,dry,1,97778.48637218046,10.0,85427.0,85241.0,87246.0,124,False,7.029411764705882,5.135687732342007,3.8588235294117648
15,2009,18,23,1,7554,1,1,58,1:34:15.784,5655784,3,1:28.020,97513.5172413793,Finished,finished,dry,1,97520.47413793103,1.0,85211.0,84855.0,86202.0,158,False,4.882352941176471,5.135687732342007,3.8588235294117648
16,2009,20,9,1,7566,3,13,56,\N,\N,4,1:28.140,96325.44642857143,Collision,collision,dry,1,97778.48637218046,3.0,85938.0,85121.0,86830.0,42,False,7.029411764705882,5.135687732342007,3.8588235294117648
17,2009,21,10,1,7564,15,11,58,+7.374,5663158,12,1:29.005,97640.6551724138,Finished,finished,dry,1,97631.69827586207,18.0,86677.0,0.0,0.0,224,False,13.941176470588236,5.135687732342007,3.8588235294117648
18,2009,22,23,1,7555,2,2,58,+0.807,5656591,14,1:29.066,97527.43103448275,Finished,finished,dry,1,97520.47413793103,2.0,85006.0,84783.0,86505.0,273,False,4.882352941176471,5.135687732342007,3.8588235294117648
19,2009,67,5,1,7560,13,7,58,+6.004,5661788,16,1:29.230,97617.03448275862,Finished,finished,dry,1,97619.56896551725,16.0,86503.0,0.0,0.0,1,True,14.911764705882353,5.135687732342007,3.8588235294117648
20,2009,1,1,2,7580,12,7,31,+1:00.733,4312825,11,1:39.141,109398.54838709677,Finished,finished,changing,2,109398.54838709677,13.0,95280.0,94905.0,0.0,36,False,10.411764705882353,4.771844660194175,3.8588235294117648
21,2009,2,2,2,7575,10,2,31,+22.722,4274814,10,1:39.084,108172.3870967742,Finished,finished,changing,2,115455.19354838709,11.0,95110.0,94769.0,0.0,158,False,11.088235294117647,4.771844660194175,3.8588235294117648
22,2009,3,3,2,7581,4,8,31,+1:11.576,4323668,4,1:37.598,109748.32258064517,Finished,finished,changing,2,110466.93548387097,6.0,95083.0,94547.0,95750.0,53,False,10.970588235294118,4.771844660194175,3.8588235294117648
23,2009,4,4,2,7584,9,11,31,\N,\N,9,1:39.006,110969.16129032258,+1 Lap,+1 Lap,changing,2,111086.75806451612,10.0,95260.0,94706.0,97659.0,141,False,12.411764705882353,4.771844660194175,3.8588235294117648
24,2009,5,1,2,7593,14,20,0,\N,\N,\N,\N,,Spun off,collision,changing,2,109398.54838709677,14.0,95023.0,94924.0,0.0,36,False,10.411764705882353,4.771844660194175,3.8588235294117648
25,2009,6,3,2,7585,11,12,31,\N,\N,15,1:39.387,111185.54838709677,+1 Lap,+1 Lap,changing,2,110466.93548387097,12.0,95341.0,94788.0,0.0,52,False,10.970588235294118,4.771844660194175,3.8588235294117648
26,2009,7,5,2,7583,15,10,31,+1:42.164,4354256,12,1:39.242,110735.03225806452,Finished,finished,changing,2,109879.78279569893,15.0,95507.0,95431.0,0.0,18,False,14.911764705882353,4.771844660194175,3.8588235294117648
27,2009,8,6,2,7587,7,14,31,\N,\N,7,1:38.453,112047.19354838709,+1 Lap,+1 Lap,changing,2,110984.14516129032,9.0,95476.0,94456.0,96170.0,141,False,9.794117647058824,4.771844660194175,3.8588235294117648
28,2009,9,2,2,7592,6,19,1,\N,\N,\N,\N,122738.0,Engine,technical,changing,2,115455.19354838709,8.0,95166.0,94562.0,96106.0,65,False,11.088235294117647,4.771844660194175,3.8588235294117648
29,2009,10,7,2,7576,3,3,31,+23.513,4275605,16,1:39.406,108197.90322580645,Finished,finished,changing,2,108563.3870967742,5.0,94907.0,94258.0,95690.0,97,False,9.558823529411764,4.771844660194175,3.8588235294117648
30,2009,12,4,2,7586,17,13,31,\N,\N,14,1:39.268,111204.35483870968,+1 Lap,+1 Lap,changing,2,111086.75806451612,17.0,95708.0,0.0,0.0,18,False,12.411764705882353,4.771844660194175,3.8588235294117648
31,2009,13,6,2,7582,16,9,31,+1:16.932,4329024,13,1:39.250,109921.09677419355,Finished,finished,changing,2,110984.14516129032,16.0,95642.0,0.0,0.0,124,False,9.794117647058824,4.771844660194175,3.8588235294117648
32,2009,15,7,2,7577,2,4,31,+46.173,4298265,3,1:37.591,108928.87096774194,Finished,finished,changing,2,108563.3870967742,2.0,94745.0,93990.0,95273.0,207,False,9.558823529411764,4.771844660194175,3.8588235294117648
33,2009,16,10,2,7590,19,17,30,\N,\N,18,1:39.464,111947.53333333334,+1 Lap,+1 Lap,changing,2,111078.33563218391,19.0,95951.0,0.0,0.0,36,False,13.941176470588236,4.771844660194175,3.8588235294117648
34,2009,17,9,2,7579,5,6,31,+52.333,4304425,5,1:37.672,109127.58064516129,Finished,finished,changing,2,108622.19032258065,7.0,95027.0,94222.0,95797.0,124,False,7.029411764705882,4.771844660194175,3.8588235294117648
35,2009,18,23,2,7574,1,1,31,1:10:52.092,4252092,1,1:36.641,107439.41935483871,Finished,finished,changing,2,108203.29032258064,1.0,95058.0,93784.0,95181.0,158,False,4.882352941176471,4.771844660194175,3.8588235294117648
36,2009,20,9,2,7588,13,15,30,\N,\N,6,1:38.427,108116.8,Spun off,collision,changing,2,108622.19032258065,3.0,94935.0,94276.0,95518.0,42,False,7.029411764705882,4.771844660194175,3.8588235294117648
37,2009,21,10,2,7591,18,18,29,\N,\N,17,1:39.407,110209.13793103448,Spun off,collision,changing,2,111078.33563218391,18.0,95908.0,0.0,0.0,224,False,13.941176470588236,4.771844660194175,3.8588235294117648
38,2009,22,23,2,7578,8,5,31,+47.360,4299452,2,1:37.484,108967.16129032258,Finished,finished,changing,2,108203.29032258064,4.0,94681.0,94387.0,95651.0,273,False,4.882352941176471,4.771844660194175,3.8588235294117648
39,2009,67,5,2,7589,20,16,30,\N,\N,8,1:38.938,109024.53333333334,Spun off,collision,changing,2,109879.78279569893,20.0,96107.0,0.0,0.0,1,False,14.911764705882353,4.771844660194175,3.8588235294117648
40,2009,1,1,3,7599,9,6,56,+1:11.866,7135351,12,1:54.665,127416.98214285714,Finished,finished,wet,17,127356.58928571429,9.0,95776.0,95740.0,98595.0,36,False,10.411764705882353,3.584795321637427,3.8588235294117648
41,2009,2,2,3,7605,11,12,56,+1:35.834,7159319,7,1:54.158,127844.98214285714,Finished,finished,wet,17,127943.36607142858,11.0,96525.0,95975.0,0.0,158,False,11.088235294117647,3.584795321637427,3.8588235294117648
42,2009,3,3,3,7608,7,15,55,\N,\N,8,1:54.243,129292.16363636364,+1 Lap,+1 Lap,wet,17,131333.45391120506,7.0,95941.0,95809.0,97397.0,53,False,10.970588235294118,3.584795321637427,3.8588235294117648
43,2009,4,4,3,7602,2,9,56,+1:24.309,7147794,9,1:54.481,127639.17857142857,Finished,finished,wet,17,129527.05224867724,2.0,96443.0,95803.0,96381.0,141,False,12.411764705882353,3.584795321637427,3.8588235294117648
44,2009,5,1,3,7598,12,5,56,+1:05.102,7128587,10,1:54.516,127296.19642857143,Finished,finished,wet,17,127356.58928571429,12.0,96646.0,96032.0,0.0,36,False,10.411764705882353,3.584795321637427,3.8588235294117648
45,2009,6,3,3,7611,14,18,43,\N,\N,17,1:56.167,133374.7441860465,Retired,technical,wet,17,131333.45391120506,15.0,96673.0,96193.0,0.0,52,False,10.970588235294118,3.584795321637427,3.8588235294117648
46,2009,7,5,3,7604,15,11,56,+1:34.156,7157641,5,1:53.474,127815.01785714286,Finished,finished,wet,17,127656.83035714286,16.0,96906.0,0.0,0.0,18,False,14.911764705882353,3.584795321637427,3.8588235294117648
47,2009,8,6,3,7603,8,10,56,+1:31.750,7155235,15,1:55.396,127772.05357142857,Finished,finished,wet,17,133710.1267857143,8.0,96137.0,95856.0,98089.0,141,False,9.794117647058824,3.584795321637427,3.8588235294117648
48,2009,9,2,3,7606,17,13,56,+1:46.853,7170338,14,1:55.350,128041.75,Finished,finished,wet,17,127943.36607142858,18.0,96966.0,0.0,0.0,65,False,11.088235294117647,3.584795321637427,3.8588235294117648
49,2009,10,7,3,7600,19,7,56,+1:14.476,7137961,3,1:52.703,127463.58928571429,Finished,finished,wet,17,138255.15575396825,14.0,96364.0,96066.0,0.0,97,False,9.558823529411764,3.584795321637427,3.8588235294117648
50,2009,12,4,3,7609,16,16,54,\N,\N,16,1:55.535,131414.92592592593,+2 Laps,+2 Laps,wet,17,129527.05224867724,17.0,96908.0,0.0,0.0,18,False,12.411764705882353,3.584795321637427,3.8588235294117648
51,2009,13,6,3,7612,13,19,20,\N,\N,19,1:56.484,139648.2,Electronics,technical,wet,17,133710.1267857143,13.0,96178.0,96033.0,0.0,124,False,9.794117647058824,3.584795321637427,3.8588235294117648
52,2009,15,7,3,7613,6,20,18,\N,\N,20,2:00.330,149046.72222222222,Collision,collision,wet,17,138255.15575396825,6.0,96308.0,95645.0,96835.0,207,False,9.558823529411764,3.584795321637427,3.8588235294117648
53,2009,16,10,3,7610,18,17,50,\N,\N,13,1:54.777,128637.74,Spun off,collision,wet,17,128762.65181818182,19.0,97669.0,0.0,0.0,36,False,13.941176470588236,3.584795321637427,3.8588235294117648
